cid  1   14 / 32 = 43.8 %
cid  2   13 / 32 = 40.6 %
cid  3   18 / 32 = 56.2 %
cid  4   16 / 32 = 50.0 %
cid  5   3 / 32 = 9.4 %
cid  6   8 / 32 = 25.0 %
cid  7   27 / 32 = 84.4 %
cid  8   2 / 32 = 6.2 %
cid  9   11 / 32 = 34.4 %
cid 10   3 / 32 = 9.4 %
cid 11   9 / 32 = 28.1 %
cid 12   20 / 32 = 62.5 %
cid 13   21 / 32 = 65.6 %
cid 14   8 / 32 = 25.0 %
cid 15   26 / 32 = 81.2 %
cid 16   26 / 32 = 81.2 %
cid 17   29 / 32 = 90.6 %
cid 18   29 / 32 = 90.6 %
cid 19   29 / 32 = 90.6 %
cid 20   22 / 32 = 68.8 %
cid 21   13 / 32 = 40.6 %
cid 22   13 / 32 = 40.6 %
cid 23   27 / 32 = 84.4 %
cid 24   17 / 32 = 53.1 %
cid 25   20 / 32 = 62.5 %
cid 26   26 / 32 = 81.2 %
Total:  450 / 832 = 54.09 %

I\O     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26
  1  43.8   3.1   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   3.1   0.0   6.2   3.1   0.0   9.4   0.0  18.8   3.1   0.0   3.1   0.0   3.1   0.0   0.0   0.0
  2   0.0  40.6   0.0   6.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0  12.5   0.0  25.0   0.0   0.0  12.5   0.0   0.0   0.0   0.0   0.0
  3   0.0   0.0  56.2   0.0   0.0   0.0   9.4   0.0   9.4   0.0   0.0   9.4   0.0   0.0   6.2   0.0   3.1   0.0   6.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  4   0.0   0.0   0.0  50.0   0.0   0.0   3.1   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0  12.5   0.0   0.0   6.2   0.0  12.5   0.0   0.0   0.0   3.1   9.4
  5   0.0   0.0   9.4   0.0   9.4   3.1  12.5   0.0   0.0   0.0   0.0   3.1   0.0   0.0  18.8   6.2   6.2  12.5   3.1   0.0   0.0  15.6   0.0   0.0   0.0   0.0
  6   0.0   0.0   0.0   0.0   0.0  25.0   3.1   0.0   0.0   0.0   3.1   0.0   0.0   0.0   3.1  28.1   9.4   9.4   0.0   0.0   9.4   0.0   6.2   0.0   0.0   3.1
  7   0.0   0.0   3.1   0.0   0.0   0.0  84.4   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   3.1   0.0   3.1   0.0   3.1   0.0   0.0   0.0   0.0   0.0
  8   3.1   0.0   0.0   0.0   0.0   0.0   0.0   6.2   0.0   0.0   6.2   0.0   0.0   0.0   9.4   6.2   6.2  15.6   0.0   0.0  21.9   0.0  25.0   0.0   0.0   0.0
  9   0.0   0.0   0.0   0.0   0.0   6.2   0.0   0.0  34.4   0.0   3.1   6.2   3.1   0.0   9.4   3.1   0.0   0.0   6.2   6.2   0.0   0.0   0.0   0.0   0.0  21.9
 10   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   9.4   0.0   0.0   0.0   0.0   9.4   0.0   0.0   0.0   3.1  56.2   0.0   3.1   0.0   0.0   6.2  12.5
 11   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  28.1   0.0   0.0   0.0   0.0   0.0  21.9  28.1   0.0   0.0  21.9   0.0   0.0   0.0   0.0   0.0
 12   0.0   0.0   0.0   0.0   0.0   0.0   6.2   0.0  15.6   0.0   3.1  62.5   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   9.4
 13   0.0   0.0   0.0   0.0   0.0   0.0   0.0  12.5   0.0   0.0   3.1   0.0  65.6   0.0   0.0   0.0   0.0   3.1   0.0   0.0  15.6   0.0   0.0   0.0   0.0   0.0
 14   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   6.2  25.0  28.1   0.0   0.0   0.0   0.0   0.0   6.2   0.0  31.2   0.0   0.0   0.0
 15   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0  81.2   3.1   0.0   0.0   3.1   0.0   0.0   9.4   0.0   0.0   0.0   0.0
 16   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0  81.2   3.1   0.0   0.0   0.0   6.2   0.0   3.1   0.0   0.0   3.1
 17   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  90.6   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   6.2
 18   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  90.6   0.0   0.0   9.4   0.0   0.0   0.0   0.0   0.0
 19   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  90.6   0.0   0.0   0.0   0.0   0.0   3.1   0.0
 20   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0  12.5   3.1   0.0   0.0   0.0  68.8   0.0   0.0   0.0   0.0   6.2   6.2
 21   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  28.1   0.0   0.0   3.1   0.0   0.0  40.6  15.6   9.4   0.0   3.1   0.0
 22   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  25.0   0.0   0.0   0.0   0.0   0.0   3.1  40.6  31.2   0.0   0.0   0.0
 23   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  15.6   0.0   0.0   0.0   0.0   0.0   0.0   0.0  84.4   0.0   0.0   0.0
 24   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  15.6  15.6   6.2   0.0   0.0   0.0   3.1  53.1   3.1   3.1
 25   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.2   0.0   3.1   0.0   3.1   0.0   3.1   3.1   3.1   6.2   0.0   0.0   6.2   0.0   3.1   0.0  62.5   0.0
 26   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   9.4  81.2
